epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,6576.94,1.41098,1.6718,1.66955,0.6591,0.54526,0.60163,0.37286,1.35,1.36432,1.48424,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,6688.41,1.40267,1.64346,1.65788,0.64194,0.56051,0.60562,0.37119,1.35096,1.35993,1.49529,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,6799.7,1.40281,1.65857,1.65602,0.66783,0.54439,0.60206,0.37732,1.33269,1.36789,1.47842,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,6911.14,1.41193,1.64949,1.66091,0.66375,0.55273,0.61208,0.37792,1.33068,1.35003,1.47511,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,7022.91,1.40636,1.64152,1.65599,0.66399,0.54122,0.59719,0.37528,1.34653,1.36831,1.4924,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,7134.81,1.39055,1.63421,1.6409,0.65375,0.54073,0.5966,0.37785,1.34332,1.35176,1.48098,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,7245.99,1.39391,1.62612,1.64892,0.64391,0.56247,0.60969,0.37948,1.34194,1.33803,1.48241,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,7357.9,1.38463,1.61805,1.6448,0.67246,0.55726,0.61276,0.38246,1.34341,1.35105,1.47808,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,7469.57,1.38149,1.62904,1.63747,0.66871,0.54382,0.59863,0.37662,1.34654,1.36625,1.488,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,7580.14,1.39179,1.61136,1.63878,0.6449,0.54957,0.60322,0.38301,1.32745,1.3476,1.46744,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,7691.59,1.37907,1.61072,1.63583,0.68199,0.54259,0.61313,0.37916,1.32885,1.33179,1.46512,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,7803.65,1.39422,1.6207,1.63749,0.65266,0.56956,0.61364,0.38772,1.32225,1.31301,1.46494,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,7914.24,1.38128,1.60154,1.63427,0.6473,0.56621,0.61297,0.39163,1.32491,1.30677,1.46559,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,8026.56,1.36292,1.58674,1.62598,0.67093,0.56028,0.61829,0.38868,1.3348,1.31115,1.48031,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,8139.35,1.37162,1.58985,1.6246,0.6643,0.56536,0.61345,0.38631,1.34329,1.31117,1.47715,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,8250.59,1.35405,1.56651,1.61164,0.63768,0.56799,0.61139,0.38844,1.34057,1.31369,1.47685,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,8361.98,1.36616,1.58747,1.62108,0.64803,0.56536,0.61755,0.39094,1.32098,1.31395,1.45922,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,8474.21,1.37025,1.57416,1.6241,0.67482,0.56663,0.61868,0.39007,1.31972,1.30032,1.45806,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,8586.95,1.3472,1.55215,1.60968,0.666,0.5582,0.61316,0.38966,1.32198,1.31327,1.45828,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,8697.93,1.35596,1.55597,1.61519,0.66788,0.56337,0.61607,0.3887,1.32818,1.30183,1.46547,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,8809.77,1.35256,1.55569,1.61851,0.69088,0.55544,0.62314,0.39387,1.33646,1.30494,1.47084,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,8922,1.3486,1.54539,1.60504,0.67138,0.55642,0.62069,0.39388,1.32286,1.31121,1.46308,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
